Date_,Close_NVDA,High_NVDA,Low_NVDA,Open_NVDA,Volume_NVDA
2010-01-04,0.4239225685596466,0.4269030976623524,0.415210263232993,0.42438110519130945,800204000
2010-01-05,0.4301130175590515,0.4346984396982569,0.42231778352363925,0.42231778352363925,728648000
2010-01-06,0.4328642189502716,0.43378129234724494,0.4257568044642871,0.42988368941320493,649168000
2010-01-07,0.4243811070919037,0.43240562117263337,0.42117132332462387,0.43057144730650276,547792000
2010-01-08,0.4252983033657074,0.4282788331522615,0.4184201703188615,0.4209421360372756,478168000
2010-01-11,0.41933712363243103,0.4294250656092226,0.41337606576745134,0.42759089185605476,556612000
2010-01-12,0.4051225185394287,0.41475192916361775,0.3964102089577367,0.41314703650334567,627432000
2010-01-13,0.4106248915195465,0.4120005289108454,0.392053923393353,0.40787364406821697,508868000
2010-01-14,0.40420523285865784,0.40856137169945883,0.39732710163764745,0.40558087003536547,608524000
2010-01-15,0.392283171415329,0.4046638257331559,0.3870099312798435,0.4012247596445264,818192000
2010-01-19,0.3996199071407318,0.40214187278982017,0.3881563250465041,0.3893026805227998,545328000
2010-01-20,0.39801493287086487,0.39961985218197454,0.3893026269829457,0.3945758669149441,719728000
2010-01-21,0.3909074664115906,0.4048930093735437,0.3872391192090668,0.3977855969178768,608632000
2010-01-22,0.3773805797100067,0.3934295559815556,0.3750878688140712,0.3863221412716475,1067916000
2010-01-25,0.38380005955696106,0.39113672673781613,0.3808195308278214,0.38357077760423436,643676000
2010-01-26,0.37164878845214844,0.3844879799176209,0.37141950643869515,0.3819659870947096,714636000
2010-01-27,0.38173675537109375,0.383112392970502,0.36729266990239673,0.37141955536934906,812504000
2010-01-28,0.3688974976539612,0.3860928553121394,0.36362425755412175,0.3847172179534795,687764000
2010-01-29,0.35284852981567383,0.37715127476820687,0.34734600760105805,0.3730243899400621,774700000
2010-02-01,0.37990251183509827,0.38059033050955005,0.3512436008289006,0.35422413019734683,949832000
2010-02-02,0.38380005955696106,0.38861476191412986,0.3773804655244898,0.37852682062560034,849812000
2010-02-03,0.38701003789901733,0.3886149577142054,0.37852701134295674,0.3803611858951179,562296000
2010-02-04,0.36454135179519653,0.3835708558202953,0.3604144671234104,0.3835708558202953,783480000
